0	Tench	tench, Tinca tinca,	Animal	Fish		
1	Goldfish	goldfish, Carassius auratus,	Animal	Fish		
2	Great White Shark	great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias,	Animal	Fish		
3	Tiger Shark	tiger shark, Galeocerdo cuvieri,	Animal	Fish		
4	Hammerhead Shark	hammerhead, hammerhead shark,	Animal	Fish		
5	Electric Ray	electric ray, crampfish, numbfish, torpedo,	Animal	Fish		
6	Stingray	stingray,	Animal	Fish		
7	Cock	cock,	Animal	Bird		
8	Hen	hen,	Animal	Bird		
9	Ostrich	ostrich, Struthio camelus,	Animal	Bird		
10	Brambling	brambling, Fringilla montifringilla,	Animal	Bird		
11	Goldfinch	goldfinch, Carduelis carduelis,	Animal	Bird		
12	House Finch	house finch, linnet, Carpodacus mexicanus,	Animal	Bird		
13	Junco	junco, snowbird,	Animal	Bird		
14	Indigo Bunting	indigo bunting, indigo finch, indigo bird, Passerina cyanea,	Animal	Bird		
15	American Robin	robin, American robin, Turdus migratorius,	Animal	Bird		
16	Bulbul	bulbul,	Animal	Bird		
17	Jay	jay,	Animal	Bird		
18	Magpie	magpie,	Animal	Bird		
19	Chickadee	chickadee,	Animal	Bird		
20	American Dipper	water ouzel, dipper,	Animal	Bird		
21	Kite	kite,	Animal	Bird		
22	Bald Eagle	bald eagle, American eagle, Haliaeetus leucocephalus,	Animal	Bird		
23	Vulture	vulture,	Animal	Bird		
24	Great Grey Owl	great grey owl, great gray owl, Strix nebulosa,	Animal	Bird		
25	Fire Salamander	European fire salamander, Salamandra salamandra,	Animal	Amphibian		
26	Smooth Newt	common newt, Triturus vulgaris,	Animal	Amphibian		
27	Newt	eft,	Animal	Amphibian		
28	Spotted Salamander	spotted salamander, Ambystoma maculatum,	Animal	Amphibian		
29	Axolotl	axolotl, mud puppy, Ambystoma mexicanum,	Animal	Amphibian		
30	American Bullfrog	bullfrog, Rana catesbeiana,	Animal	Amphibian		
31	Tree Frog	tree frog, tree-frog,	Animal	Amphibian		
32	Tailed Frog	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui,	Animal	Amphibian		
33	Loggerhead Sea Turtle	loggerhead, loggerhead turtle, Caretta caretta,	Animal	Amphibian		
34	Leatherback Sea Turtle	leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea,	Animal	Amphibian		
35	Mud Turtle	mud turtle,	Animal	Amphibian		
36	Terrapin	terrapin,	Animal	Amphibian		
37	Box Turtle	box turtle, box tortoise,	Animal	Amphibian		
38	Banded Gecko	banded gecko,	Animal	Reptile		
39	Green Iguana	common iguana, iguana, Iguana iguana,	Animal	Reptile		
40	Carolina Anole	American chameleon, anole, Anolis carolinensis,	Animal	Reptile		
41	Desert Grassland Whiptail Lizard	whiptail, whiptail lizard,	Animal	Reptile		
42	Agama	agama,	Animal	Reptile		
43	Frilled-necked Lizard	frilled lizard, Chlamydosaurus kingi,	Animal	Reptile		
44	Alligator Lizard	alligator lizard,	Animal	Reptile		
45	Gila Monster	Gila monster, Heloderma suspectum,	Animal	Reptile		
46	European Green Lizard	green lizard, Lacerta viridis,	Animal	Reptile		
47	Chameleon	African chameleon, Chamaeleo chamaeleon,	Animal	Reptile		
48	Komodo Dragon	Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis,	Animal	Reptile		
49	Nile Crocodile	African crocodile, Nile crocodile, Crocodylus niloticus,	Animal	Reptile		
50	American Alligator	American alligator, Alligator mississipiensis,	Animal	Reptile		
51	Triceratops	triceratops,	Animal	Reptile		
52	Worm Snake	thunder snake, worm snake, Carphophis amoenus,	Animal	Reptile		
53	Ring-necked Snake	ringneck snake, ring-necked snake, ring snake,	Animal	Reptile		
54	Eastern Hog-nosed Snake	hognose snake, puff adder, sand viper,	Animal	Reptile		
55	Smooth Green Snake	green snake, grass snake,	Animal	Reptile		
56	Kingsnake	king snake, kingsnake,	Animal	Reptile		
57	Garter Snake	garter snake, grass snake,	Animal	Reptile		
58	Water Snake	water snake,	Animal	Reptile		
59	Vine Snake	vine snake,	Animal	Reptile		
60	Night Snake	night snake, Hypsiglena torquata,	Animal	Reptile		
61	Boa Constrictor	boa constrictor, Constrictor constrictor,	Animal	Reptile		
